config_id,label,group,regulatory_h_mean,n_regulatory_categories,n_regulatory_cases,analysis_h_mean,n_analysis_categories,n_analysis_cases,gap,cat_analyze_channel_risk,cat_analyze_cross_institution_flow,cat_analyze_network,cat_compare_periods,cat_detect_aml_patterns,cat_detect_ctr_candidates,cat_detect_dormant_reactivation,cat_detect_monitoring_alerts,cat_detect_smurfing_network,cat_get_account_profile,cat_get_aml_glossary,cat_get_fraud_type_summary,cat_get_institution_report,cat_get_receiving_account_profile,cat_get_statistics,cat_get_trend_analysis,cat_lookup_fiu_reference_types,cat_predict_fraud,cat_query_transactions,cat_rank_risky_transactions,cat_score_account_risk,cat_validate_str_fields,n_configs,configs_missing_from_28
gpt-oss-20b-t,gpt-oss-20B (T),General-Purpose,0.712,4,131,0.8463,18,958,0.1343,0.8182,0.74,0.76,0.8214,0.78,0.7679,0.8727,0.8545,0.6909,0.96,0.96,0.75,0.9,0.74,0.7455,0.96,0.56,0.9636,0.9508,0.9455,0.98,0.56,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
mistral-small,Mistral-Small-24B,General-Purpose,0.6864,4,131,0.8189,18,958,0.1325,0.9091,0.88,0.92,1.0,0.78,0.7857,0.9455,0.8727,0.6909,0.8,0.36,0.8393,0.94,0.86,0.5091,0.96,0.96,0.5636,0.3279,0.9818,0.96,0.64,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
xlam-70b,xLAM-2-70B,General-Purpose,0.635,4,131,0.7153,18,958,0.0803,0.7455,0.32,0.94,0.9286,0.64,0.5,0.2182,0.4727,0.5091,0.98,0.96,0.875,0.94,0.9,0.5273,0.7,1.0,0.9818,0.623,0.6545,0.92,0.08,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
kanana-2-inst,Kanana-2-Instruct,Korean-Specialized,0.7843,4,131,0.8337,18,958,0.0494,0.7636,1.0,0.98,0.9286,0.58,0.8571,0.7455,0.9091,0.7091,0.78,1.0,0.9107,0.92,0.72,0.5273,0.92,0.48,0.9636,0.8852,0.7636,1.0,0.8,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,0.812,4,131,0.8604,18,958,0.0484,0.9455,0.96,0.92,0.875,0.88,0.7679,0.9818,0.8909,0.6909,0.84,0.72,0.8393,0.72,0.84,0.5273,0.98,1.0,0.9818,0.8689,0.9455,0.8,0.76,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
qwen35-27b-t,Qwen3.5-27B (T),General-Purpose,0.9643,4,131,0.9682,18,958,0.0039,1.0,0.98,0.96,1.0,0.98,0.8571,1.0,0.9455,0.8545,1.0,1.0,0.9643,0.96,0.98,0.8909,0.98,1.0,0.9818,0.9508,1.0,1.0,1.0,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
gemma-4-31b,Gemma-4-31B,General-Purpose,0.9777,4,131,0.9786,18,958,0.0009,1.0,1.0,0.98,1.0,0.98,0.9107,1.0,1.0,0.8182,1.0,1.0,0.9643,1.0,1.0,0.9636,1.0,1.0,0.9818,0.9672,1.0,0.96,1.0,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
qwen36-27b,Qwen3.6-27B,General-Purpose,0.9777,4,131,0.9719,18,958,-0.0058,0.9818,1.0,0.94,0.9821,0.98,0.9107,1.0,0.9818,0.8909,1.0,1.0,0.9821,0.96,0.96,0.8909,0.98,1.0,1.0,0.9836,1.0,0.98,1.0,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
qwen35-27b-nt,Qwen3.5-27B (NT),General-Purpose,0.9732,4,131,0.9633,18,958,-0.0099,1.0,0.98,0.96,0.9821,0.96,0.8929,1.0,1.0,0.8364,1.0,1.0,0.9643,0.98,1.0,0.7818,0.98,1.0,1.0,0.9344,1.0,0.98,1.0,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
qwen35-4b-t,Qwen3.5-4B (T),General-Purpose,0.9598,4,131,0.9454,18,958,-0.0144,0.9818,1.0,0.94,0.9643,0.94,0.8393,0.9455,0.9636,0.8182,1.0,1.0,0.9464,0.98,0.92,0.7273,0.96,1.0,0.9818,0.9672,0.9818,1.0,1.0,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
qwen36-35b-a3b,Qwen3.6-35B-A3B,General-Purpose,0.9777,4,131,0.952,18,958,-0.0257,0.9636,1.0,0.94,0.9821,0.96,0.9107,1.0,1.0,0.6909,1.0,1.0,0.9286,0.98,0.94,0.8909,0.98,1.0,0.9636,0.9344,0.9818,1.0,1.0,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
gpt-oss-20b-nt,gpt-oss-20B (NT),General-Purpose,0.9343,4,131,0.9007,18,958,-0.0335,0.8727,0.88,0.96,1.0,0.68,0.8571,0.9818,0.8909,0.9091,0.98,0.96,0.9464,0.9,0.72,0.7636,0.96,1.0,0.9818,0.8852,0.9818,0.92,0.92,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
gpt-oss-120b-nt,gpt-oss-120B (NT),General-Purpose,0.9632,4,131,0.9193,18,958,-0.0439,0.9818,0.8,0.94,0.9464,0.8,0.8929,0.9636,0.9818,0.7636,1.0,1.0,0.8571,0.94,0.94,0.7455,1.0,0.96,0.9636,0.9836,1.0,0.94,1.0,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
ax-4.0,A.X-4.0 (72B),Korean-Specialized,0.9732,4,131,0.9218,18,958,-0.0514,0.9636,1.0,0.98,1.0,0.86,0.8929,1.0,0.8909,0.7091,0.86,1.0,0.875,0.98,0.78,0.8182,0.96,1.0,0.9818,0.9344,1.0,1.0,1.0,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
ministral-3b,Ministral-3-3B,General-Purpose,0.922,4,131,0.8595,18,958,-0.0625,0.9636,0.86,0.98,0.9643,0.72,0.7679,0.9273,0.8727,0.7818,0.86,1.0,0.9286,0.92,0.54,0.7091,0.94,0.96,0.9818,0.541,1.0,0.98,0.96,18,ax-light;dragon-llama-fin;exaone-1.2b;exaone-32b;gemma-4-e4b;hermes-3-8b;llama-3.2-3b;phi-4-mini;qwen35-4b-nt;xlam-3b
