config_id,label,group,ctx_acc,n_context_turns,completion,n_scenarios,single_h,n_cases,multi_hbar,n_turns
ax-4.0,A.X-4.0 (72B),Korean-Specialized,0.978261,46,0.66,50,0.905405,1258,0.908676,219
kanana-2-inst,Kanana-2-Instruct,Korean-Specialized,0.934783,46,0.48,50,0.809221,1258,0.840183,219
kanana-2-think,Kanana-2-Think,Korean-Specialized,0.934783,46,0.68,50,0.896661,1258,0.922374,219
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,0.934783,46,0.58,50,0.842607,1258,0.881279,219
gpt-oss-20b-nt,gpt-oss-20B (NT),General-Purpose,0.847826,46,0.58,50,0.875994,1258,0.890411,219
gpt-oss-20b-t,gpt-oss-20B (T),General-Purpose,0.891304,46,0.32,50,0.81717,1258,0.739726,219
gpt-oss-120b-nt,gpt-oss-120B (NT),General-Purpose,0.913043,46,0.5,50,0.903816,1258,0.872146,219
gpt-oss-120b-t,gpt-oss-120B (T),General-Purpose,0.913043,46,0.38,50,0.848172,1258,0.812785,219
llama-3.3-70b,Llama-3.3-70B,General-Purpose,0.913043,46,0.6,50,0.779014,1258,0.899543,219
ministral-3b,Ministral-3-3B,General-Purpose,0.804348,46,0.18,50,0.833863,1258,0.684932,219
mistral-small,Mistral-Small-24B,General-Purpose,0.934783,46,0.72,50,0.81399,1258,0.922374,219
qwen35-4b-t,Qwen3.5-4B (T),General-Purpose,0.956522,46,0.38,50,0.914149,1258,0.826484,219
qwen35-27b-nt,Qwen3.5-27B (NT),General-Purpose,0.978261,46,0.56,50,0.947536,1258,0.890411,219
qwen35-27b-t,Qwen3.5-27B (T),General-Purpose,0.956522,46,0.36,50,0.941971,1258,0.821918,219
qwen36-27b,Qwen3.6-27B,General-Purpose,0.978261,46,0.4,50,0.942766,1258,0.840183,219
qwen36-35b-a3b,Qwen3.6-35B-A3B,General-Purpose,0.978261,46,0.36,50,0.927663,1258,0.812785,219
xlam-70b,xLAM-2-70B,General-Purpose,0.934783,46,0.46,50,0.694754,1258,0.849315,219
gemma-4-31b,Gemma-4-31B,General-Purpose,0.956522,46,0.66,50,0.965819,1258,0.90411,219
